1359,8932,1,0
1359,8932,1
1359,1355,12453,2
1359,118210,27552,3
1359,290497,290521,4
1359,8932,1,5
1359,116718,128117,6
1359,1347,1357,7
1359,8932,1,0,8
1359,8932,1,0,9
1359,206668,194505,10
1359,68743,51646,11
1359,64445,1085,12
1359,1347,1383,13
1359,8932,1,0,14
1359,1450,84643,15
1359,57823,137971,16
1359,57823,17
1359,8932,1,0,18
1359,71610,19
1359,8932,1,20
1359,1380,248423,21
1359,8932,1,0,22
1359,8932,1,0,23
1359,494990,46644,24
1359,8932,1,0,25
1359,57823,17,26
1359,1450,84643,27
1359,57823,17,28
1359,64445,12647,29
1359,57823,137971,30
1359,64662,34235,31
1359,1392,15314,32
1359,8932,1,0,33
1359,8932,1,0,34
1359,8932,1,0,35
1359,174972,42001,36
1359,24106,2572,37
1359,57823,593170,38
1359,1371,16163,39
1359,130885,133258,40
1359,8932,1,0,41
1359,8932,1,0,42
1359,1355,15234,43
1359,8932,1,0,44
1359,1347,1388,45
1359,8932,1,0,46
1359,64662,390693,823676,47
1359,1384,38123,48
1359,116650,211695,49
1359,71610,49678,50
1359,158805,145352,51
1359,8932,34280,52
1359,1354,20209,53
1359,50977,420595,332183,54
1359,118210,27552,3,55
1359,24106,155742,190542,56
1359,296692,32630,144004,58,57
1359,296692,32630,144004,58
1359,64662,160901,21787,208698,59
1359,296692,32630,144004,58,57,60
1359,50977,16621,45011,61
1359,1394,62
1359,8932,34280,52,63
1359,494990,11839,64
1359,316755,140720,65
1359,60885,116159,66
1359,68743,593178,67
1359,57823,145011,116422,68
1359,68743,2905,69
1359,57823,42694,41507,70
1359,1405,12730,166139,71
1359,290497,290521,4,72
1359,60156,296610,73
1359,50977,59022,74
1359,64662,2662,75
1359,57823,125,120905,715820,76
-1
1359,60156,52204,14435,78
1359,1405,15761,547,79
1359,871136,370977,80
1359,116650,87406,81
1359,478136,18588,82
1359,57823,137971,30,83
1359,116650,87406,84
1359,1405,203704,505519,85
1359,1396,33312,150248,86
1359,27562,5928,87
1359,1347,1417,88
1359,57823,137971,89
1359,1450,27388,90
1359,50977,116063,91
1359,198087,756230,92
1359,64445,4053,93
1359,1354,54152,81281,1922916,94
1359,57823,17,95
1359,1814823,351196,96
1359,57823,17,95,97
1359,332800,50486,98
1359,130885,195179,99
1359,57823,59104,100
1359,1347,1404,101
1359,60156,191895,102
